record_id,date,year,month,city,state,country,latitude,longitude,temperature,humidity,rainfall,wind_speed,pressure,weather_condition,disaster_type,disaster_risk_level,river_level,soil_moisture,alert_status,response_action
REC_1029,2024-01-25,2024,1,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,5.5,38,153.3,37.5,1003,Rain,Flood,Critical,9.3,15,Emergency,Evacuation Support
REC_1030,2023-05-31,2023,5,New York,New York,USA,40.7128,-74.006,36.2,98,198.2,104.0,1027,Thunderstorm,Storm,Medium,6.5,55,Watch,Monitor
REC_1031,2023-11-21,2023,11,Sydney,NSW,Australia,-33.8688,151.2093,36.0,85,21.6,51.2,1007,Clear,Drought,Medium,1.6,44,Watch,Monitor
REC_1032,2024-01-17,2024,1,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,24.2,92,56.0,47.2,1024,Rain,Landslide,High,4.4,86,Warning,Alert Public
REC_1033,2023-06-20,2023,6,Toronto,Ontario,Canada,43.651,-79.347,3.4,22,100.7,89.9,1049,Thunderstorm,Storm,High,2.4,77,Warning,Alert Public
REC_1034,2024-03-25,2024,3,Sydney,NSW,Australia,-33.8688,151.2093,27.6,31,43.0,70.9,964,Clear,Heatwave,Medium,0.7,57,Watch,Monitor
REC_1035,2024-08-03,2024,8,Cairo,Cairo,Egypt,30.0444,31.2357,-3.0,21,43.4,81.2,990,Thunderstorm,Storm,High,7.0,21,Warning,Alert Public
REC_1036,2023-02-16,2023,2,Dubai,Dubai,UAE,25.2048,55.2708,18.9,88,146.8,106.7,950,Rain,Storm,High,2.8,80,Warning,Alert Public
REC_1037,2024-12-27,2024,12,Mumbai,Maharashtra,India,19.076,72.8777,15.5,83,18.8,10.1,1015,Clear,Drought,Critical,3.0,80,Emergency,Evacuation Support
REC_1038,2023-04-09,2023,4,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,38.5,19,191.4,26.0,1023,Fog,None,Low,6.2,39,Normal,No Action
REC_1039,2024-04-20,2024,4,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,29.0,37,31.5,41.9,1039,Thunderstorm,None,Low,1.1,72,Normal,No Action
REC_1040,2024-02-06,2024,2,Cape Town,Western Cape,South Africa,-33.9249,18.4241,42.0,86,148.6,119.8,973,Clear,Heatwave,High,5.4,93,Warning,Alert Public
REC_1041,2023-11-11,2023,11,Paris,Ile-de-France,France,48.8566,2.3522,37.7,44,173.4,91.8,1044,Rain,Flood,High,8.8,79,Warning,Alert Public
REC_1042,2023-02-04,2023,2,Dubai,Dubai,UAE,25.2048,55.2708,21.7,92,159.7,83.6,998,Rain,Storm,Critical,5.2,92,Emergency,Evacuation Support
REC_1043,2024-12-12,2024,12,Los Angeles,California,USA,34.0522,-118.2437,42.9,90,46.6,25.2,981,Clear,Heatwave,Critical,8.7,74,Emergency,Evacuation Support
REC_1044,2024-11-30,2024,11,Sydney,NSW,Australia,-33.8688,151.2093,38.4,31,34.9,87.4,957,Thunderstorm,Storm,Medium,3.9,63,Watch,Monitor
REC_1045,2024-12-26,2024,12,Singapore,Singapore,Singapore,1.3521,103.8198,8.1,21,60.9,106.5,1010,Thunderstorm,Storm,Critical,1.5,47,Emergency,Evacuation Support
REC_1046,2024-06-06,2024,6,Beijing,Beijing,China,39.9042,116.4074,43.5,41,74.9,1.4,974,Thunderstorm,Landslide,Critical,2.9,17,Emergency,Evacuation Support
REC_1047,2023-09-24,2023,9,Beijing,Beijing,China,39.9042,116.4074,1.8,72,51.1,88.0,976,Thunderstorm,Cyclone,High,0.8,94,Warning,Alert Public
REC_1048,2023-03-04,2023,3,Paris,Ile-de-France,France,48.8566,2.3522,12.6,99,41.5,38.5,1007,Clear,None,Low,8.7,90,Normal,No Action
REC_1049,2023-08-15,2023,8,Beijing,Beijing,China,39.9042,116.4074,19.1,12,76.1,115.0,972,Rain,Cyclone,Medium,9.0,44,Watch,Monitor
REC_1050,2023-03-27,2023,3,Los Angeles,California,USA,34.0522,-118.2437,15.8,11,151.6,28.6,1026,Fog,None,Low,1.1,34,Normal,No Action
REC_1051,2023-10-12,2023,10,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,38.9,41,64.8,7.9,1041,Thunderstorm,Cyclone,High,2.4,5,Warning,Alert Public
REC_1052,2024-05-19,2024,5,Singapore,Singapore,Singapore,1.3521,103.8198,3.7,47,68.9,45.3,986,Cloudy,Landslide,Critical,1.5,49,Emergency,Evacuation Support
REC_1053,2023-03-29,2023,3,Cairo,Cairo,Egypt,30.0444,31.2357,39.9,93,49.3,21.4,1035,Clear,Heatwave,High,2.1,52,Warning,Alert Public
REC_1054,2023-03-08,2023,3,Moscow,Moscow,Russia,55.7558,37.6173,-3.0,79,157.8,65.9,1003,Thunderstorm,Flood,Critical,9.8,44,Emergency,Evacuation Support
REC_1055,2024-06-19,2024,6,Paris,Ile-de-France,France,48.8566,2.3522,41.7,69,189.7,50.6,1002,Clear,Heatwave,Critical,3.1,70,Emergency,Evacuation Support
REC_1056,2023-01-06,2023,1,London,England,UK,51.5074,-0.1278,31.9,37,190.4,95.3,1021,Thunderstorm,Flood,Medium,8.4,44,Watch,Monitor
REC_1057,2023-09-10,2023,9,Beijing,Beijing,China,39.9042,116.4074,43.6,63,31.3,111.7,992,Clear,Heatwave,High,9.6,93,Warning,Alert Public
REC_1058,2023-09-24,2023,9,New York,New York,USA,40.7128,-74.006,27.8,58,191.2,80.9,990,Thunderstorm,Storm,High,6.6,45,Warning,Alert Public
REC_1059,2024-04-14,2024,4,New York,New York,USA,40.7128,-74.006,-7.1,95,49.3,33.3,980,Rain,None,Low,9.9,13,Normal,No Action
REC_1060,2023-09-21,2023,9,Cairo,Cairo,Egypt,30.0444,31.2357,5.8,41,15.0,33.2,984,Clear,None,Low,5.7,58,Normal,No Action
REC_1061,2024-09-30,2024,9,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,15.7,32,49.8,91.1,1039,Rain,Cyclone,Critical,4.5,46,Emergency,Evacuation Support
REC_1062,2024-01-31,2024,1,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,-2.5,12,151.4,4.6,951,Cloudy,None,Low,2.9,77,Normal,No Action
REC_1063,2024-01-15,2024,1,Sydney,NSW,Australia,-33.8688,151.2093,30.5,55,181.9,30.7,1024,Rain,Flood,Medium,9.6,91,Watch,Monitor
REC_1064,2024-06-09,2024,6,New York,New York,USA,40.7128,-74.006,9.7,47,182.7,85.0,997,Rain,Storm,Medium,1.9,87,Watch,Monitor
REC_1065,2024-03-10,2024,3,Cape Town,Western Cape,South Africa,-33.9249,18.4241,32.4,18,183.9,60.6,1005,Clear,Drought,High,1.9,51,Warning,Alert Public
REC_1066,2023-01-21,2023,1,Los Angeles,California,USA,34.0522,-118.2437,3.6,84,156.6,9.8,965,Rain,Cyclone,Medium,3.9,54,Watch,Monitor
REC_1067,2023-01-12,2023,1,London,England,UK,51.5074,-0.1278,-4.7,27,11.1,15.7,987,Rain,Storm,High,6.8,11,Warning,Alert Public
REC_1068,2024-07-23,2024,7,Toronto,Ontario,Canada,43.651,-79.347,42.4,63,9.1,45.3,1010,Clear,Heatwave,High,5.8,67,Warning,Alert Public
REC_1069,2024-04-02,2024,4,Moscow,Moscow,Russia,55.7558,37.6173,9.5,38,48.9,119.2,962,Rain,Storm,Medium,5.1,66,Watch,Monitor
REC_1070,2023-11-06,2023,11,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,-8.7,43,194.9,55.0,1028,Clear,None,Low,2.0,67,Normal,No Action
REC_1071,2023-05-21,2023,5,London,England,UK,51.5074,-0.1278,10.2,28,4.0,9.8,985,Thunderstorm,Flood,High,5.8,79,Warning,Alert Public
REC_1072,2023-01-11,2023,1,Toronto,Ontario,Canada,43.651,-79.347,17.7,28,108.9,79.7,1021,Thunderstorm,Flood,Critical,8.9,32,Emergency,Evacuation Support
REC_1073,2023-02-22,2023,2,Sydney,NSW,Australia,-33.8688,151.2093,-1.2,51,150.9,18.4,1034,Snow,Landslide,High,4.5,64,Warning,Alert Public
REC_1074,2023-05-09,2023,5,Los Angeles,California,USA,34.0522,-118.2437,41.6,17,71.0,59.2,1017,Fog,None,Low,5.6,21,Normal,No Action
REC_1075,2023-04-06,2023,4,Singapore,Singapore,Singapore,1.3521,103.8198,-4.2,30,9.7,98.9,1035,Rain,Storm,Critical,5.9,82,Emergency,Evacuation Support
REC_1076,2023-08-07,2023,8,Cairo,Cairo,Egypt,30.0444,31.2357,33.8,60,113.3,28.2,982,Fog,Landslide,Critical,0.6,49,Emergency,Evacuation Support
REC_1077,2024-10-01,2024,10,Sydney,NSW,Australia,-33.8688,151.2093,-7.3,70,194.0,7.8,1024,Rain,None,Low,3.0,43,Normal,No Action
REC_1078,2024-07-17,2024,7,Singapore,Singapore,Singapore,1.3521,103.8198,19.3,41,161.9,37.0,958,Rain,None,Low,1.2,23,Normal,No Action
REC_1079,2023-10-24,2023,10,Dubai,Dubai,UAE,25.2048,55.2708,43.0,33,167.4,43.2,1011,Rain,Landslide,Medium,5.0,28,Watch,Monitor
REC_1080,2023-10-21,2023,10,Cape Town,Western Cape,South Africa,-33.9249,18.4241,24.5,65,169.4,15.5,961,Thunderstorm,Flood,Critical,9.8,56,Emergency,Evacuation Support
REC_1081,2024-06-14,2024,6,Moscow,Moscow,Russia,55.7558,37.6173,-5.5,53,191.0,90.2,1030,Thunderstorm,Cyclone,Critical,5.5,11,Emergency,Evacuation Support
REC_1082,2023-05-04,2023,5,Los Angeles,California,USA,34.0522,-118.2437,-6.7,70,136.6,31.9,1019,Fog,Landslide,High,6.7,84,Warning,Alert Public
REC_1083,2024-04-05,2024,4,Mumbai,Maharashtra,India,19.076,72.8777,5.2,96,192.7,38.4,977,Rain,Flood,Medium,9.4,85,Watch,Monitor
REC_1084,2023-11-19,2023,11,Moscow,Moscow,Russia,55.7558,37.6173,19.8,96,1.5,6.9,1026,Rain,None,Low,8.4,25,Normal,No Action
REC_1085,2023-09-25,2023,9,Cairo,Cairo,Egypt,30.0444,31.2357,23.7,79,171.9,64.4,1026,Snow,Landslide,Medium,6.6,8,Watch,Monitor
REC_1086,2023-06-22,2023,6,Toronto,Ontario,Canada,43.651,-79.347,27.8,46,2.5,71.2,981,Clear,None,Low,8.4,83,Normal,No Action
REC_1087,2023-01-13,2023,1,London,England,UK,51.5074,-0.1278,14.1,89,130.8,46.6,981,Clear,Landslide,High,2.2,94,Warning,Alert Public
REC_1088,2024-06-13,2024,6,Dubai,Dubai,UAE,25.2048,55.2708,34.0,38,41.5,50.8,1033,Clear,None,Low,8.0,10,Normal,No Action
REC_1089,2023-08-30,2023,8,Los Angeles,California,USA,34.0522,-118.2437,3.6,32,120.0,71.2,950,Thunderstorm,Flood,High,8.9,14,Warning,Alert Public
REC_1090,2023-04-09,2023,4,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,23.2,92,197.0,59.7,983,Thunderstorm,Landslide,Medium,1.6,86,Watch,Monitor
REC_1091,2024-06-07,2024,6,Cairo,Cairo,Egypt,30.0444,31.2357,19.9,12,58.5,45.8,1035,Rain,None,Low,3.0,44,Normal,No Action
REC_1092,2023-01-22,2023,1,Singapore,Singapore,Singapore,1.3521,103.8198,-4.3,36,41.5,42.8,1041,Clear,Drought,Critical,3.1,73,Emergency,Evacuation Support
REC_1093,2024-03-05,2024,3,Cairo,Cairo,Egypt,30.0444,31.2357,7.8,33,96.0,60.2,973,Thunderstorm,Storm,Critical,7.6,79,Emergency,Evacuation Support
REC_1094,2024-02-05,2024,2,Moscow,Moscow,Russia,55.7558,37.6173,-0.1,82,194.4,43.4,1004,Thunderstorm,None,Low,2.3,53,Normal,No Action
REC_1095,2024-09-23,2024,9,London,England,UK,51.5074,-0.1278,38.9,86,43.0,50.8,1040,Clear,Heatwave,High,8.6,85,Warning,Alert Public
REC_1096,2023-01-17,2023,1,Dubai,Dubai,UAE,25.2048,55.2708,17.1,68,54.2,34.5,992,Thunderstorm,None,Low,8.1,45,Normal,No Action
REC_1097,2023-09-20,2023,9,Toronto,Ontario,Canada,43.651,-79.347,27.8,61,52.6,91.2,998,Thunderstorm,Storm,High,3.7,10,Warning,Alert Public
REC_1098,2023-05-18,2023,5,Cape Town,Western Cape,South Africa,-33.9249,18.4241,41.4,85,85.7,41.6,1044,Clear,Heatwave,Critical,8.0,65,Emergency,Evacuation Support
REC_1099,2024-12-11,2024,12,New York,New York,USA,40.7128,-74.006,22.1,26,84.8,65.6,1012,Clear,None,Low,1.8,84,Normal,No Action
REC_1100,2024-11-17,2024,11,Sydney,NSW,Australia,-33.8688,151.2093,44.2,48,22.2,86.3,959,Thunderstorm,Storm,Medium,3.3,35,Watch,Monitor
REC_1101,2024-12-27,2024,12,Tokyo,Tokyo,Japan,35.6762,139.6503,-7.6,44,75.1,90.0,1050,Rain,Cyclone,High,6.7,61,Warning,Alert Public
REC_1102,2023-09-07,2023,9,London,England,UK,51.5074,-0.1278,39.7,75,177.2,29.3,1010,Clear,Heatwave,High,5.5,38,Warning,Alert Public
REC_1103,2023-02-18,2023,2,Cairo,Cairo,Egypt,30.0444,31.2357,13.5,38,160.5,108.5,1002,Thunderstorm,Cyclone,Medium,4.5,31,Watch,Monitor
REC_1104,2023-04-30,2023,4,Los Angeles,California,USA,34.0522,-118.2437,18.1,39,14.2,65.3,1024,Clear,None,Low,6.2,86,Normal,No Action
REC_1105,2023-05-25,2023,5,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,16.1,63,11.0,16.4,984,Thunderstorm,Cyclone,High,8.2,93,Warning,Alert Public
REC_1106,2023-11-27,2023,11,New York,New York,USA,40.7128,-74.006,12.5,96,81.1,0.5,963,Snow,None,Low,5.7,57,Normal,No Action
REC_1107,2023-03-03,2023,3,Moscow,Moscow,Russia,55.7558,37.6173,6.1,54,132.3,50.7,956,Thunderstorm,Flood,High,8.9,68,Warning,Alert Public
REC_1108,2024-08-22,2024,8,Tokyo,Tokyo,Japan,35.6762,139.6503,44.6,47,161.3,47.1,969,Rain,None,Low,1.2,17,Normal,No Action
REC_1109,2023-07-15,2023,7,New York,New York,USA,40.7128,-74.006,-5.5,95,142.7,6.9,1002,Clear,Drought,Medium,6.3,48,Watch,Monitor
REC_1110,2023-09-12,2023,9,Los Angeles,California,USA,34.0522,-118.2437,17.2,18,27.8,32.4,1024,Cloudy,None,Low,6.3,45,Normal,No Action
REC_1111,2024-01-22,2024,1,Moscow,Moscow,Russia,55.7558,37.6173,5.7,63,25.9,52.7,998,Snow,None,Low,4.5,37,Normal,No Action
REC_1112,2024-04-03,2024,4,Sydney,NSW,Australia,-33.8688,151.2093,-2.0,32,34.5,61.5,1015,Rain,Flood,Critical,2.5,85,Emergency,Evacuation Support
REC_1113,2024-02-08,2024,2,Mumbai,Maharashtra,India,19.076,72.8777,11.3,100,30.5,108.8,1036,Thunderstorm,Storm,High,3.2,16,Warning,Alert Public
REC_1114,2023-07-29,2023,7,Cape Town,Western Cape,South Africa,-33.9249,18.4241,-3.7,69,67.1,77.2,983,Fog,None,Low,7.0,32,Normal,No Action
REC_1115,2023-03-07,2023,3,Cape Town,Western Cape,South Africa,-33.9249,18.4241,1.3,96,108.4,108.1,1042,Rain,Cyclone,Medium,4.9,64,Watch,Monitor
REC_1116,2023-01-27,2023,1,London,England,UK,51.5074,-0.1278,12.8,28,145.1,28.4,983,Snow,None,Low,7.9,88,Normal,No Action
REC_1117,2024-01-27,2024,1,Los Angeles,California,USA,34.0522,-118.2437,4.3,85,153.3,2.7,955,Snow,Landslide,Medium,1.6,20,Watch,Monitor
REC_1118,2024-06-28,2024,6,Paris,Ile-de-France,France,48.8566,2.3522,12.5,12,169.2,55.7,1045,Thunderstorm,None,Low,0.8,95,Normal,No Action
REC_1119,2023-11-26,2023,11,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,2.2,12,191.3,75.1,979,Rain,None,Low,7.1,47,Normal,No Action
REC_1120,2024-09-03,2024,9,Dubai,Dubai,UAE,25.2048,55.2708,5.4,25,64.3,112.3,991,Rain,Cyclone,Medium,2.8,47,Watch,Monitor
REC_1121,2023-07-15,2023,7,Beijing,Beijing,China,39.9042,116.4074,26.3,42,135.9,35.8,1033,Rain,Cyclone,Critical,4.6,22,Emergency,Evacuation Support
REC_1122,2023-12-17,2023,12,Tokyo,Tokyo,Japan,35.6762,139.6503,6.7,60,135.4,73.3,1008,Clear,None,Low,4.4,15,Normal,No Action
REC_1123,2024-12-16,2024,12,London,England,UK,51.5074,-0.1278,-9.0,25,181.5,74.0,983,Thunderstorm,None,Low,6.5,87,Normal,No Action
REC_1124,2023-09-17,2023,9,Beijing,Beijing,China,39.9042,116.4074,16.8,16,166.0,38.8,1025,Snow,Landslide,High,3.8,55,Warning,Alert Public
REC_1125,2023-08-25,2023,8,Moscow,Moscow,Russia,55.7558,37.6173,17.0,17,53.2,99.2,1032,Thunderstorm,Cyclone,Medium,2.8,70,Watch,Monitor
REC_1126,2024-12-27,2024,12,Singapore,Singapore,Singapore,1.3521,103.8198,34.8,57,32.7,81.6,1032,Rain,Storm,High,3.4,56,Warning,Alert Public
REC_1127,2024-01-13,2024,1,London,England,UK,51.5074,-0.1278,-7.4,38,109.6,116.3,962,Thunderstorm,Flood,High,9.7,54,Warning,Alert Public
REC_1128,2023-02-09,2023,2,Singapore,Singapore,Singapore,1.3521,103.8198,16.2,69,162.7,44.9,977,Clear,Heatwave,Medium,3.7,31,Watch,Monitor
REC_1129,2023-07-17,2023,7,New York,New York,USA,40.7128,-74.006,35.3,71,132.8,38.1,1029,Clear,None,Low,5.0,83,Normal,No Action
REC_1130,2024-06-21,2024,6,Los Angeles,California,USA,34.0522,-118.2437,-3.5,19,143.7,103.4,1024,Thunderstorm,Storm,Medium,4.2,20,Watch,Monitor
REC_1131,2024-06-07,2024,6,Cape Town,Western Cape,South Africa,-33.9249,18.4241,-5.6,10,167.4,56.2,1013,Rain,None,Low,5.6,32,Normal,No Action
REC_1132,2023-01-16,2023,1,Dubai,Dubai,UAE,25.2048,55.2708,4.9,46,133.6,71.8,993,Cloudy,None,Low,1.0,42,Normal,No Action
REC_1133,2023-11-11,2023,11,Cairo,Cairo,Egypt,30.0444,31.2357,8.6,76,67.7,119.2,1013,Thunderstorm,Storm,Medium,1.4,58,Watch,Monitor
REC_1134,2023-11-22,2023,11,Sydney,NSW,Australia,-33.8688,151.2093,7.8,29,186.4,60.4,1003,Clear,Heatwave,High,1.0,68,Warning,Alert Public
REC_1135,2023-01-26,2023,1,Rio de Janeiro,Rio de Janeiro,Brazil,-22.9068,-43.1729,17.5,69,178.4,89.1,1041,Rain,Storm,Medium,1.5,95,Watch,Monitor
REC_1136,2023-12-09,2023,12,Cape Town,Western Cape,South Africa,-33.9249,18.4241,20.7,99,104.5,46.5,954,Snow,None,Low,3.7,52,Normal,No Action
REC_1137,2023-04-18,2023,4,Singapore,Singapore,Singapore,1.3521,103.8198,31.0,48,179.5,53.8,1000,Cloudy,Landslide,Medium,5.3,28,Watch,Monitor
REC_1138,2023-06-29,2023,6,Dubai,Dubai,UAE,25.2048,55.2708,20.8,32,187.1,19.3,950,Thunderstorm,None,Low,3.5,58,Normal,No Action
REC_1139,2024-07-05,2024,7,Paris,Ile-de-France,France,48.8566,2.3522,16.4,27,154.5,66.3,1014,Rain,Flood,High,9.1,49,Warning,Alert Public
REC_1140,2024-07-06,2024,7,Cairo,Cairo,Egypt,30.0444,31.2357,23.4,78,121.0,71.1,983,Clear,None,Low,2.3,81,Normal,No Action
REC_1141,2023-09-05,2023,9,Cairo,Cairo,Egypt,30.0444,31.2357,-9.6,19,159.4,31.8,999,Rain,Flood,High,8.6,77,Warning,Alert Public
REC_1142,2024-03-28,2024,3,Singapore,Singapore,Singapore,1.3521,103.8198,5.5,28,169.4,37.2,1043,Rain,None,Low,7.0,51,Normal,No Action
REC_1143,2024-12-22,2024,12,Mumbai,Maharashtra,India,19.076,72.8777,27.1,58,146.9,68.5,1022,Cloudy,Landslide,High,5.0,74,Warning,Alert Public
REC_1144,2024-03-10,2024,3,Moscow,Moscow,Russia,55.7558,37.6173,-7.1,95,197.4,28.1,957,Thunderstorm,None,Low,5.4,44,Normal,No Action
REC_1145,2024-02-02,2024,2,Los Angeles,California,USA,34.0522,-118.2437,17.5,45,169.7,14.5,964,Rain,Landslide,High,4.7,82,Warning,Alert Public
REC_1146,2024-05-09,2024,5,Tokyo,Tokyo,Japan,35.6762,139.6503,33.5,84,155.7,58.4,964,Clear,Landslide,High,3.8,83,Warning,Alert Public
REC_1147,2023-08-12,2023,8,Toronto,Ontario,Canada,43.651,-79.347,11.8,34,75.8,119.4,1030,Thunderstorm,Cyclone,Critical,2.2,29,Emergency,Evacuation Support
REC_1148,2024-11-04,2024,11,Sydney,NSW,Australia,-33.8688,151.2093,18.6,97,24.0,63.5,1038,Fog,None,Low,7.2,44,Normal,No Action
REC_1149,2024-09-03,2024,9,Paris,Ile-de-France,France,48.8566,2.3522,26.3,16,152.4,17.5,993,Thunderstorm,Flood,Medium,8.8,58,Watch,Monitor
REC_1150,2024-12-06,2024,12,London,England,UK,51.5074,-0.1278,13.7,21,2.4,71.3,974,Snow,None,Low,1.3,38,Normal,No Action
REC_1151,2024-06-08,2024,6,Paris,Ile-de-France,France,48.8566,2.3522,-1.6,10,131.3,108.1,1026,Rain,Storm,Medium,1.7,10,Watch,Monitor
REC_1152,2023-03-20,2023,3,New York,New York,USA,40.7128,-74.006,40.6,47,173.3,6.7,955,Clear,Heatwave,Critical,4.9,86,Emergency,Evacuation Support
REC_1153,2023-07-12,2023,7,Mumbai,Maharashtra,India,19.076,72.8777,43.7,36,26.2,79.8,1040,Thunderstorm,Landslide,High,8.3,63,Warning,Alert Public
REC_1154,2023-08-12,2023,8,Singapore,Singapore,Singapore,1.3521,103.8198,21.4,25,2.5,54.2,1030,Cloudy,None,Low,9.4,11,Normal,No Action
REC_1155,2023-09-26,2023,9,New York,New York,USA,40.7128,-74.006,41.9,44,178.7,16.7,1044,Clear,Drought,High,1.0,17,Warning,Alert Public
REC_1156,2023-06-05,2023,6,London,England,UK,51.5074,-0.1278,20.4,28,48.5,81.8,997,Thunderstorm,Storm,High,6.5,81,Warning,Alert Public
REC_1157,2024-10-31,2024,10,Tokyo,Tokyo,Japan,35.6762,139.6503,34.2,69,158.6,2.3,1012,Clear,Landslide,Medium,7.3,92,Watch,Monitor
